"airportUsing",""
"aitaCode",""
"albedo",""
"album",""
"albumRuntime","duration filmRuntime runtime"
"alias",""
"allcinemaId",""
"allegiance",""
"alliance",""
"almaMater","education"
"alongside",""
"alpsGroup",""
"alpsMainPart",""
"alpsMajorSector",""
"alpsSection",""
"alpsSoiusaCode",""
"alpsSubgroup",""
"alpsSubsection",""
"alpsSupergroup",""
"alternativeName",""
"alternativeTitle",""
"altitude",""
"alumni",""
"amateurDefeat",""
"amateurFight",""
"amateurKo",""
"amateurNoContest",""
"amateurTeam",""
"amateurTie",""
"amateurTitle",""
"amateurVictory",""
"amateurYear",""
"americanComedyAward",""
"amgid",""
"amsterdamCode",""
"analogChannel",""
"animal",""
"animator",""
"anniversary",""
"announcedFrom",""
"annualTemperature",""
"anthem",""
"apcPresident",""
"apoapsis",""
"apofocus",""
"apparentMagnitude",""
"appearancesInLeague",""
"appearancesInNationalTeam",""
"appointer",""
"approach",""
"approvedByLowerParliament",""
"approvedByUpperParliament",""
"approximateCalories",""
"apskritis",""
"archipelago",""
"architect",""
"architectualBureau",""
"architecturalMovement",""
"architecturalStyle",""
"area","landArea waterArea"
"areaCode",""
"areaDate",""
"areaLand",""
"areaMetro",""
"areaOfCatchment",""
"areaOfCatchmentQuote",""
"areaOfSearch",""
"areaQuote",""
"areaRank",""
"areaRural",""
"areaTotal",""
"areaTotalRanking",""
"areaUrban",""
"areaWater",""
"argueDate",""
"arielAward",""
"arm",""
"army",""
"arrestDate",""
"arrondissement",""
"artPatron",""
"artery",""
"artificialSnowArea",""
"artist","musicalArtist"
"artisticFunction",""
"asWikiText",""
"ascent",""
"asiaChampionship",""
"aspectRatio",""
"assembly",""
"assetUnderManagement",""
"assets",""
"assistantPrincipal",""
"associate",""
"associateEditor",""
"associateStar",""
"associatedAct",""
"associatedBand",""
"associatedMusicalArtist",""
"associatedRocket",""
"associationOfLocalGovernment",""
"astrologicalSign",""
"atPage",""
"atRowNumber",""
"atcPrefix",""
"atcSuffix",""
"atcSupplemental",""
"athletics",""
"athleticsDiscipline",""
"atomicNumber",""
"attorneyGeneral",""
"australiaOpenDouble",""
"australiaOpenMixed",""
"australiaOpenSingle",""
"author",""
"authority",""
"authorityMandate",""
"authorityTitle",""
"automobileModel",""
"automobilePlatform",""
"autonomy",""
"availableSmartCard",""
"average",""
"averageAnnualGeneration",""
"averageClassSize",""
"averageDepth",""
"averageDepthQuote",""
"averageSpeed",""
"avifaunaPopulation",""
"award",""
"awardName",""
"awayColourHexCode",""
"bSide",""
"background",""
"backhand",""
"badGuy",""
"baftaAward",""
"band",""
"bandMember",""
"barPassRate",""
"barangays",""
"basedOn",""
"battingSide",""
"battle",""
"battleHonours",""
"beatifiedBy",""
"beatifiedDate",""
"beatifiedPlace",""
"bedCount",""
"believers",""
"beltwayCity",""
"bestFinish",""
"bestLap",""
"bestRankDouble",""
"bestRankSingle",""
"bestWsopRank",""
"bestYearWsop",""
"bgafdId",""
"bibsysId",""
"bicycleInformation",""
"bigPoolRecord",""
"biggestCity",""
"billed",""
"binomial",""
"binomialAuthority",""
"bioavailability",""
"bioclimate",""
"biome",""
"bird",""
"birthDate","birthYear"
"birthName",""
"birthPlace",""
"birthSign",""
"birthYear","birthDate"
"bishopric",""
"blackLongDistancePisteNumber",""
"blackSkiPisteNumber",""
"blazon",""
"blazonCaption",""
"blazonLink",""
"blazonRatio",""
"block",""
"blockAlloy",""
"bloodGroup",""
"bloodType",""
"blueLongDistancePisteNumber",""
"blueSkiPisteNumber",""
"bnfId",""
"board",""
"bodyDiscovered",""
"bodyStyle",""
"boiler",""
"boilerPressure",""
"boilingPoint",""
"book",""
"booster",""
"border",""
"borough",""
"bourgmestre",""
"bowlRecord",""
"boxerCategory",""
"boxerStyle",""
"bpnId",""
"brainInfoNumber",""
"brainInfoType",""
"branchFrom",""
"branchTo",""
"brand",""
"breeder",""
"bridgeCarries",""
"britishComedyAwards",""
"britishOpen",""
"britishWins",""
"broadcastArea",""
"broadcastNetwork",""
"broadcastRepeater",""
"broadcastStationClass",""
"broadcastTranslator",""
"bronzeMedalDouble",""
"bronzeMedalMixed",""
"bronzeMedalSingle",""
"bronzeMedalist",""
"budget",""
"budgetYear",""
"builder","manufacturer"
"building",""
"buildingEndDate",""
"buildingEndYear",""
"buildingStartDate",""
"buildingStartYear",""
"buildingType",""
"bustSize",""
"bustWaistHipSize",""
"cableCar",""
"calculationNeeds",""
"callSign",""
"callsignMeaning",""
"campus",""
"campusSize",""
"campusType",""
"canBaggageChecked",""
"cannonNumber",""
"canonizedBy",""
"canonizedDate",""
"canonizedPlace",""
"canton",""
"capacity",""
"capacityFactor",""
"capital",""
"capitalCoordinates",""
"capitalCountry",""
"capitalDistrict",""
"capitalElevation",""
"capitalMountain",""
"capitalPlace",""
"capitalPosition",""
"capitalRegion",""
"captureDate",""
"carNumber",""
"carbohydrate",""
"carcinogen",""
"careerPoints",""
"careerPrizeMoney",""
"careerStation",""
"cargoFuel",""
"cargoGas",""
"cargoWater",""
"casNumber",""
"casSupplemental",""
"case",""
"casualties",""
"catch",""
"category",""
"caterer",""
"catholicPercentage",""
"causalties",""
"causeOfDeath","deathCause"
"causedBy",""
"ccaState",""
"ceeb",""
"ceiling",""
"cemetery",""
"censusYear",""
"center",""
"centuryBreaks",""
"ceo",""
"ceremonialCounty",""
"certification",""
"certificationDate",""
"cesarAward",""
"chEBI",""
"chain",""
"chairLabel",""
"chairman",""
"chairmanTitle",""
"chairperson",""
"champion",""
"championInDouble",""
"championInDoubleFemale",""
"championInDoubleMale",""
"championInMixedDouble",""
"championInSingle",""
"championInSingleFemale",""
"championInSingleMale",""
"championships",""
"chancellor",""
"channel",""
"chaplain",""
"characterInPlay",""
"chef",""
"chiefEditor",""
"chiefPlace",""
"child",""
"childOrganisation",""
"choreographer",""
"chorusCharacterInPlay",""
"christeningDate",""
"chromosome",""
"cinematography",""
"circle",""
"circuitLength",""
"circuitName",""
"circulation",""
"circumcised",""
"cites",""
"citizenship",""
"city","county district locatedInArea province settlement"
"cityLink",""
"cityRank",""
"citySince",""
"cityType",""
"class",""
"classes",""
"classification",""
"classis",""
"climate",""
"climbUpNumber",""
"closeTo",""
"closed",""
"closingDate",""
"closingFilm",""
"closingYear",""
"clothSize",""
"clothingSize",""
"club","team"
"clubsRecordGoalscorer",""
"cluster",""
"cmpEvaDuration",""
"cmykCoordinateBlack",""
"cmykCoordinateCyanic",""
"cmykCoordinateMagenta",""
"cmykCoordinateYellow",""
"co2Emission",""
"coExecutiveProducer",""
"coProducer",""
"coach",""
"coachClub",""
"coachSeason",""
"coachedTeam",""
"coachingRecord",""
"coalition",""
"coastLength",""
"coastLine",""
"coatOfArms",""
"code",""
"codeBook",""
"codeDistrict",""
"codeIndex",""
"codeLandRegistry",""
"codeListOfHonour",""
"codeMemorial",""
"codeMunicipalMonument",""
"codeNationalMonument",""
"codeProvincialMonument",""
"codeSettlement",""
"codeStockExchange",""
"coden",""
"coemperor",""
"collaboration",""
"colleague",""
"collection",""
"collectionSize",""
"collectivityMinority",""
"college",""
"collegeHof",""
"colonialName",""
"colorChart",""
"colour",""
"colourHexCode",""
"colourName",""
"combatant",""
"comic",""
"comitat",""
"command",""
"commandModule",""
"commandStructure",""
"commandant",""
"commander",""
"comment",""
"commissioner",""
"commissionerDate",""
"commissioningDate",""
"committee",""
"committeeInLegislature",""
"commonName",""
"commune",""
"communityIsoCode",""
"company",""
"comparable",""
"competition",""
"competitionTitle",""
"compiler",""
"completionDate",""
"complexion",""
"complexity",""
"component",""
"composer","musicBy"
"compressionRatio",""
"computingInput",""
"computingMedia",""
"computingPlatform",""
"configuration",""
"conflict",""
"congressionalDistrict",""
"connectsReferencedTo",""
"connotation",""
"consecration",""
"conservationStatus",""
"conservationStatusSystem",""
"constellation",""
"construction",""
"constructionMaterial",""
"contest",""
"continent",""
"continentRank",""
"continentalTournament",""
"continentalTournamentBronze",""
"continentalTournamentGold",""
"continentalTournamentSilver",""
"contractAward",""
"contractor",""
"convictionDate",""
"coolingSystem",""
"copilote",""
"coronationDate",""
"cosparId",""
"cost",""
"costumeDesigner",""
"council",""
"councilArea",""
"country",""
"countryOrigin",""
"countryRank",""
"countryWithFirstAstronaut",""
"countryWithFirstSatellite",""
"countryWithFirstSatelliteLaunched",""
"countryWithFirstSpaceflight",""
"county","city district locatedInArea province settlement"
"countySeat",""
"course",""
"cousurper",""
"coverArtist",""
"cpu",""
"created",""
"creationChristianBishop",""
"creationYear",""
"creativeDirector",""
"creator",""
"creatorOfDish",""
"credit",""
"crest",""
"crew",""
"crewMember",""
"crewSize",""
"crews",""
"criteria",""
"crosses",""
"crownDependency",""
"cuisine",""
"cultivatedVariety",""
"curator",""
"currency",""
"currencyCode",""
"currentCity",""
"currentLeague",""
"currentMember",""
"currentPartner",""
"currentProduction",""
"currentRank",""
"currentRecord",""
"currentSeason",""
"currentStatus",""
"currentTeam",""
"currentTeamManager",""
"currentTeamMember",""
"currentWorldChampion",""
"currentlyUsedFor",""
"custodian",""
"cyclistGenre",""
"cylinderBore",""
"cylinderCount",""
"daira",""
"dam",""
"damage",""
"damsire",""
"danseCompetition",""
"danseScore",""
"date",""
"dateAct",""
"dateAgreement",""
"dateBudget",""
"dateClosed",""
"dateCompleted",""
"dateConstruction",""
"dateExtended",""
"dateLastUpdated",""
"dateOfAbandonment",""
"dateOfBurial",""
"dateUnveiled",""
"dateUse",""
"davisCup",""
"day",""
"daylightSavingTimeZone",""
"dbnlCodeDutch",""
"dcc",""
"deFactoLanguage","jureLanguage language"
"deadInFightDate",""
"deadInFightPlace",""
"dean",""
"deanery",""
"deathAge",""
"deathCause","causeOfDeath"
"deathDate","restingDate"
"deathPlace",""
"deathYear",""
"debut",""
"debutTeam",""
"debutWork",""
"dec",""
"decay",""
"decideDate",""
"declination",""
"decommissioningDate",""
"decoration",""
"defeat",""
"defeatAsMgr",""
"definition",""
"delegateMayor",""
"delegation",""
"deliveryDate",""
"deme",""
"demographics",""
"demographicsAsOf",""
"demolitionDate",""
"demolitionYear",""
"demonym",""
"denomination",""
"density",""
"department",""
"departmentCode",""
"departmentPosition",""
"depictionDescription",""
"depth",""
"depthQuote",""
"depths",""
"deputy",""
"derivative",""
"derivedWord",""
"description",""
"designCompany",""
"designer",""
"destination",""
